Unnamed: 0,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta
cg18552413,-0.271369015,0.403182201,-12.07840142,5.51E-30,3.37E-28,56.87812303,0.650147527,0.378778512,-0.271369015,1,159174610,R,II,DARC,TSS1500,opensea,TSS1500-opensea,,,,,,rs72547266,-0.304713367
cg00933859,0.276129006,0.669609963,12.30988206,5.86E-31,4.19E-29,59.10466082,0.418312702,0.694441708,0.276129006,7,33534876,F,II,BBS9,Body,opensea,Body-opensea,,,TRUE,,,,0.304668029
cg12110750,0.266776373,0.354768479,9.474186156,7.69E-20,1.26E-18,33.71044052,0.111982788,0.37875916,0.266776373,19,31839577,F,II,TSHZ3,Body,shore,Body-shore,chr19:31839635-31843049,,,,,,0.304649972
cg07739841,-0.27397061,0.574461526,-9.993909173,9.78E-22,1.97E-20,38.03248127,0.823794491,0.549823881,-0.27397061,6,159657657,R,II,FNDC1,Body,shelf,Body-shelf,chr6:159653233-159655397,,,,,,-0.304560684
cg14664759,0.267787679,0.353037475,9.450780666,9.33E-20,1.52E-18,33.51968107,0.109331422,0.3771191,0.267787679,1,196577723,R,II,KCNT2,TSS1500,island,TSS1500-island,chr1:196577708-196578011,,,,,,0.304553228
cg10130900,0.271113235,0.45324367,10.76016186,1.18E-24,3.38E-23,44.69224956,0.206511122,0.477624357,0.271113235,16,68003410,F,II,SLC12A4,TSS1500,island,TSS1500-island,chr16:68003407-68003759,,,,,,0.304473228
cg07186765,0.267886912,0.433199812,10.12856832,3.07E-22,6.57E-21,39.17860353,0.189403449,0.457290361,0.267886912,7,30633504,R,II,GARS,TSS1500,shore,TSS1500-shore,chr7:30634124-30635058,,,,,,0.30446417
cg20335735,-0.260801471,0.541616809,-12.48783206,1.03E-31,8.30E-30,60.8326675,0.778964911,0.518163439,-0.260801471,6,150068006,R,II,NUP43,TSS1500,shore,TSS1500-shore,chr6:150067323-150067766,,,,,,-0.304438485
cg22867729,0.252426734,0.755692374,12.00412387,1.12E-29,6.54E-28,56.16887962,0.525965885,0.778392619,0.252426734,12,121622315,F,II,P2RX7,Body,opensea,Body-opensea,,,,low-CpG:120106698-120106699,,,0.304366773
cg06665109,0.30080633,0.3443561,8.894770099,8.23E-18,1.09E-16,29.09010816,0.070600699,0.371407029,0.30080633,19,54369436,F,I,MYADM,TSS200,island,TSS200-island,chr19:54369387-54369809,,,,,,0.304312055
cg24473594,0.272582085,0.546440313,11.6834408,2.38E-28,1.14E-26,53.13665123,0.298371005,0.57095309,0.272582085,19,46714834,F,II,DKFZp434J0226,Body,opensea,Body-opensea,,TRUE,TRUE,,,,0.304305611
cg03101058,0.253940491,0.656666303,12.28946508,7.14E-31,5.04E-29,58.90730028,0.425562186,0.679502678,0.253940491,17,71258936,R,II,CPSF4L,TSS1500,opensea,TSS1500-opensea,,,TRUE,,,,0.304301536
cg10289744,0.254591614,0.728733041,9.817211518,4.39E-21,8.25E-20,36.54477673,0.497036356,0.75162797,0.254591614,3,271185,R,II,CHL1,5'UTR,opensea,5'UTR-opensea,,,TRUE,,,,0.304283725
cg08741898,0.249989603,0.337219485,8.875558249,9.57E-18,1.26E-16,28.94062084,0.109710962,0.359700564,0.249989603,10,102881276,F,II,TLX1NB,5'UTR,shore,5'UTR-shore,chr10:102882977-102883551,,,,,,0.304280336
cg23786625,0.260021376,0.378191966,10.01780307,7.97E-22,1.62E-20,38.23507426,0.141553807,0.401575183,0.260021376,10,106402741,F,II,SORCS3,Body,island,Body-island,chr10:106399567-106402812,TRUE,,,rs61574962,,0.304237877
cg18128969,0.26397963,0.455119552,11.56973337,6.95E-28,3.10E-26,52.0733713,0.214879098,0.478858728,0.26397963,21,22369908,F,II,NCAM2,TSS1500,island,TSS1500-island,chr21:22369423-22370582,,,,,,0.304197516
cg18279094,0.254836714,0.455747301,8.189817653,1.81E-15,1.90E-14,23.76718789,0.223827558,0.478664272,0.254836714,1,63790044,F,I,FOXD3,1stExon,island,1stExon-island,chr1:63782394-63790471,,,,,,0.304193994
cg25690922,-0.270404651,0.577545029,-10.33124121,5.29E-23,1.23E-21,40.92340338,0.823632715,0.553228064,-0.270404651,2,25038389,R,II,CENPO,Body,opensea,Body-opensea,,,TRUE,,,,-0.304190544
cg01481989,0.285095924,0.58131958,12.43934257,1.65E-31,1.29E-29,60.36041627,0.321861779,0.606957703,0.285095924,2,183731169,R,II,FRZB,1stExon,island,1stExon-island,chr2:183730808-183731357,TRUE,TRUE,,,,0.304157941
cg15237857,0.262741637,0.538365907,12.58316607,4.03E-32,3.47E-30,61.76414348,0.299252115,0.561993752,0.262741637,2,45511,R,II,FAM110C,1stExon,island,1stExon-island,chr2:45510-46559,,,,,,0.304133136
cg04119462,0.248216289,0.743921884,11.47079477,1.76E-27,7.39E-26,51.15336928,0.518027204,0.766243493,0.248216289,16,2415808,R,II,ABCA17P,Body,opensea,Body-opensea,,,TRUE,,,,0.304050096
cg15681255,0.269222868,0.592893933,12.77199172,6.23E-33,6.15E-31,63.62063965,0.347881755,0.617104622,0.269222868,8,27192141,R,II,PTK2B,5'UTR,opensea,5'UTR-opensea,,TRUE,TRUE,,,,0.304044737
cg12503473,0.255453112,0.761901095,14.46645748,1.77E-40,6.90E-38,80.90723516,0.529420385,0.784873497,0.255453112,12,94580426,R,II,PLXNC1,Body,shore,Body-shore,chr12:94580656-94580874,,TRUE,,,,0.304040728
cg27639613,0.278461952,0.688075488,11.66903863,2.73E-28,1.29E-26,53.00162737,0.434655079,0.71311703,0.278461952,2,28408263,R,II,BRE,Body,opensea,Body-opensea,,,TRUE,,,,0.304022685
cg21405799,0.249439996,0.581333316,9.205449157,6.90E-19,1.02E-17,31.54084819,0.354324975,0.603764971,0.249439996,16,84002843,F,II,NECAB2,Body,island,Body-island,chr16:84002269-84002860,,,,rs11862333,,0.303950944
cg16459349,0.268285772,0.462559057,9.938151178,1.57E-21,3.10E-20,37.56102598,0.218399704,0.486685476,0.268285772,11,6341717,F,I,PRKCDBP,5'UTR,island,5'UTR-island,chr11:6340445-6341909,,,,rs1994519,,0.303930566
cg21791662,0.292438114,0.334941209,11.00563494,1.28E-25,4.16E-24,46.89430635,0.068801487,0.361239601,0.292438114,2,121625208,F,II,GLI2,Body,island,Body-island,chr2:121624827-121625209,TRUE,,,,,0.303918745
cg18172881,0.254767751,0.384460199,7.419387847,4.44E-13,3.71E-12,18.34825896,0.152603218,0.407370968,0.254767751,3,136538801,F,II,TMEM22,5'UTR,island,5'UTR-island,chr3:136537559-136539204,TRUE,,,rs6439666,,0.303875141
cg09234582,0.278362406,0.496778153,8.375596566,4.51E-16,5.02E-15,25.13708232,0.243448338,0.521810744,0.278362406,6,33048286,F,II,HLA-DPB1,Body,shore,Body-shore,chr6:33048416-33048814,,,,rs2567284,,0.30386772
cg14270346,0.263532378,0.67354503,12.6508488,2.07E-32,1.87E-30,62.42783529,0.433711607,0.697243985,0.263532378,9,38026076,F,II,SHB,Body,opensea,Body-opensea,,TRUE,TRUE,,,,0.303805823
cg10911287,0.259634984,0.634733237,12.50142065,9.00E-32,7.32E-30,60.96519504,0.398446723,0.658081707,0.259634984,12,125271306,R,II,SCARB1,Body,opensea,Body-opensea,,TRUE,TRUE,,,,0.303745557
cg22154859,-0.272785822,0.595085582,-10.90111264,3.31E-25,1.02E-23,45.95274147,0.843340305,0.570554483,-0.272785822,20,52823177,R,II,PFDN4,TSS1500,shore,TSS1500-shore,chr20:52824330-52825048,,,,,,-0.303667488
cg23287005,0.243665934,0.748836519,12.46783276,1.25E-31,9.95E-30,60.63776426,0.527082989,0.770748923,0.243665934,8,141588165,F,I,EIF2C2,Body,opensea,Body-opensea,,,,,rs13274321,,0.303602979
cg10095954,0.248228462,0.599824512,11.70164198,2.01E-28,9.70E-27,53.3074356,0.373918753,0.622147215,0.248228462,17,3848324,F,I,ATP2A3,Body,island,Body-island,chr17:3847999-3848570,TRUE,TRUE,,,,0.303581488
cg24427724,0.262053483,0.592093409,12.36051107,3.58E-31,2.63E-29,59.59487056,0.353605887,0.61565937,0.262053483,12,6234257,F,II,VWF,TSS1500,opensea,TSS1500-opensea,,,,,,rs61750447,0.303528591
cg20372666,0.269961192,0.743034567,12.86327965,2.51E-33,2.66E-31,64.52357403,0.497350461,0.767311653,0.269961192,10,71149910,R,II,HK1,Body,opensea,Body-opensea,,TRUE,TRUE,,,,0.303456773
cg17953300,0.257047471,0.56321465,10.93010514,2.55E-25,7.95E-24,46.21333331,0.329282959,0.58633043,0.257047471,11,65418265,R,I,SIPA1,3'UTR,shore,3'UTR-shore,chr11:65419853-65420527,,,,,,0.303334795
cg04628369,-0.253239363,0.444839412,-9.215643675,6.35E-19,9.45E-18,31.62231886,0.675305451,0.422066088,-0.253239363,20,56247426,R,II,PMEPA1,5'UTR,island,5'UTR-island,chr20:56247249-56247651,,,,,,-0.303269466
cg07265743,0.241590478,0.655557736,11.46398337,1.87E-27,7.85E-26,51.09021076,0.43569302,0.677283498,0.241590478,17,59535253,F,II,TBX4,Body,island,Body-island,chr17:59531723-59535254,,TRUE,,rs4968565,,0.303263819
cg16993682,-0.26759864,0.41441167,-10.24756856,1.10E-22,2.46E-21,40.20021347,0.657945684,0.390347044,-0.26759864,1,158259268,F,II,CD1C,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.303187476
cg00939432,-0.26640802,0.522174898,-10.23187501,1.26E-22,2.80E-21,40.06501854,0.764625362,0.498217342,-0.26640802,22,29977677,F,II,NIPSNAP1,TSS1500,shore,TSS1500-shore,chr22:29976920-29977216,,,,rs6006197,,-0.303180277
cg01767396,0.265148223,0.586621524,10.15400887,2.47E-22,5.34E-21,39.39632189,0.345317566,0.610465789,0.265148223,13,25959184,R,II,ATP8A2,Body,opensea,Body-opensea,,,,,,,0.303134706
cg09473207,0.244693884,0.558627944,12.15617649,2.60E-30,1.67E-28,57.62349273,0.335938906,0.58063279,0.244693884,6,155079453,F,I,RBM16,Body,opensea,Body-opensea,,,TRUE,,,,0.30300777
cg04593696,0.262541501,0.650074284,11.87417416,3.90E-29,2.09E-27,54.93424798,0.41114263,0.673684131,0.262541501,16,84076900,F,II,SLC38A8,TSS1500,opensea,TSS1500-opensea,,TRUE,TRUE,,,,0.302957112
cg03822198,0.240473615,0.652517928,11.06939184,7.17E-26,2.41E-24,47.47147405,0.433669639,0.674143254,0.240473615,12,116997535,R,II,MAP1LC3B2,5'UTR,opensea,5'UTR-opensea,,TRUE,TRUE,,,,0.302905105
cg14189049,0.266747093,0.565228455,11.29370901,9.11E-27,3.46E-25,49.51891221,0.32246941,0.589216503,0.266747093,15,89909748,R,II,MIR9-3,TSS1500,shore,TSS1500-shore,chr15:89910521-89912177,,,,,,0.30287543
cg13306478,0.257715374,0.664144762,12.38585118,2.79E-31,2.09E-29,59.84065221,0.429605231,0.687320605,0.257715374,13,31317745,R,II,ALOX5AP,Body,opensea,Body-opensea,,TRUE,TRUE,,,,0.302854615
cg07536847,0.244086506,0.471732644,11.3016507,8.46E-27,3.23E-25,49.59187276,0.249596363,0.493682869,0.244086506,1,18957232,R,I,PAX7,TSS1500,island,TSS1500-island,chr1:18956895-18959829,,TRUE,,,,0.302838133
cg02147240,-0.261599719,0.587043794,-10.56598012,6.68E-24,1.74E-22,42.97337882,0.825118358,0.563518639,-0.261599719,14,73011054,F,II,RGS6,Body,opensea,Body-opensea,,,TRUE,,,,-0.302821978
cg20256245,0.259882575,0.416100522,9.758262553,7.22E-21,1.32E-19,36.05260476,0.179588682,0.439471257,0.259882575,22,29877285,F,II,NEFH,Body,shore,Body-shore,chr22:29875919-29877242,,,,,,0.302819929
cg06272038,0.234046908,0.369949432,8.441441427,2.74E-16,3.12E-15,25.62833201,0.156949908,0.390996816,0.234046908,11,2292512,F,I,ASCL2,TSS1500,island,TSS1500-island,chr11:2290104-2292932,,,,rs61873085,rs7949873,0.302790696
cg09870568,0.265169943,0.321794725,10.34521307,4.68E-23,1.10E-21,41.04455174,0.080471,0.345640943,0.265169943,3,138154278,F,II,ESYT3,Body,island,Body-island,chr3:138153269-138154621,,TRUE,,rs78965816,rs77214151,0.30276387
cg00388391,0.263294841,0.445072071,10.51625153,1.04E-23,2.64E-22,42.53652627,0.205454823,0.468749664,0.263294841,1,18459578,F,II,IGSF21,Body,opensea,Body-opensea,,,TRUE,,,,0.302763809
cg00736406,0.247105512,0.726225447,12.15937513,2.52E-30,1.63E-28,57.65420684,0.501341654,0.748447166,0.247105512,16,23504930,R,II,GGA2,Body,opensea,Body-opensea,,,TRUE,,,,0.302763048
cg16709232,0.283485712,0.369299382,11.25326714,1.32E-26,4.92E-25,49.14787004,0.11130699,0.394792702,0.283485712,17,72322154,R,I,KIF19,TSS200,island,TSS200-island,chr17:72321948-72322461,,,,,rs34384772,0.302675064
cg08105396,0.290392689,0.497097946,12.54247837,6.02E-32,5.04E-30,61.36611452,0.232819707,0.523212396,0.290392689,1,153539058,F,I,S100A2,TSS1500,opensea,TSS1500-opensea,,,,,rs3762269,,0.30263341
cg10318039,-0.264831139,0.571175827,-10.93167095,2.51E-25,7.84E-24,46.22741991,0.812191216,0.547360077,-0.264831139,7,84671308,F,II,SEMA3D,Body,opensea,Body-opensea,,,,,,,-0.302553355
cg10332649,0.276934721,0.685966347,14.33770924,6.85E-40,2.37E-37,79.55743345,0.433935828,0.710870549,0.276934721,2,149932635,F,II,LYPD6B,5'UTR,opensea,5'UTR-opensea,,,TRUE,,,,0.302512046
cg10623221,-0.280460103,0.619355331,-10.69063458,2.20E-24,6.09E-23,44.07443363,0.874594201,0.594134098,-0.280460103,3,173119212,F,II,NLGN1,5'UTR,shelf,5'UTR-shelf,chr3:173115404-173115775,,,,,,-0.3025074
cg10498502,0.262773703,0.669981666,13.89353763,7.07E-38,1.69E-35,74.94400565,0.430838692,0.693612395,0.262773703,3,185928164,F,II,DGKG,Body,opensea,Body-opensea,,TRUE,TRUE,,,,0.302474448
cg05031521,0.257643719,0.445397106,14.22166629,2.32E-39,7.19E-37,78.34558362,0.210922787,0.468566505,0.257643719,16,1030561,R,I,SOX8,TSS1500,island,TSS1500-island,chr16:1029878-1035327,,,,,,0.302462066
cg16587010,0.269293471,0.559794185,11.97842599,1.44E-29,8.24E-28,55.92409949,0.314717752,0.584011223,0.269293471,3,58523130,R,II,ACOX2,TSS1500,opensea,TSS1500-opensea,,TRUE,,,,,0.302450543
cg04923532,-0.269234944,0.594539795,-10.6151607,4.32E-24,1.15E-22,43.40676329,0.839562964,0.57032802,-0.269234944,16,4478627,F,II,DNAJA3,Body,shelf,Body-shelf,chr16:4475429-4476330,,,,,,-0.302411677
cg00651829,0.283303887,0.315886477,10.03138486,7.09E-22,1.45E-20,38.35038181,0.058059558,0.341363445,0.283303887,22,23413066,R,I,RTDR1,Body,island,Body-island,chr22:23412224-23413597,,,,,,0.302354725
cg03058660,0.276366817,0.594392573,11.97850693,1.44E-29,8.23E-28,55.92487006,0.342878887,0.619245704,0.276366817,19,48919198,F,I,GRIN2D,Body,island,Body-island,chr19:48919173-48919412,,,,,,0.302324729
cg01691182,0.266723689,0.397156673,11.86533946,4.24E-29,2.26E-27,54.85059998,0.154418928,0.421142617,0.266723689,7,55639118,R,II,VOPP1,Body,shore,Body-shore,chr7:55639277-55640599,,,,,,0.302300619
cg18273840,0.261431537,0.431077707,8.778691752,2.05E-17,2.60E-16,28.19061073,0.193156201,0.454587737,0.261431537,5,45695643,R,I,HCN1,Body,island,Body-island,chr5:45695394-45696510,,,,,,0.302291468
cg02389949,0.275493945,0.603768962,11.36238793,4.82E-27,1.90E-25,50.15092554,0.353049652,0.628543598,0.275493945,7,30176264,F,II,C7orf41,Body,shore,Body-shore,chr7:30174230-30176169,,,,rs10233683,,0.302191187
cg18827954,0.263596775,0.456555879,9.808555531,4.72E-21,8.85E-20,36.47237601,0.21666385,0.480260625,0.263596775,4,5053585,F,II,STK32B,1stExon,island,1stExon-island,chr4:5053230-5054092,,,,rs77843312,,0.302181934
cg25244356,-0.269622366,0.49670563,-12.02052504,9.61E-30,5.65E-28,56.32526669,0.742081381,0.472459015,-0.269622366,7,90042240,R,II,CLDN12,Body,opensea,Body-opensea,,,,,,,-0.302116039
cg06677890,0.25877219,0.699769144,12.91504358,1.50E-33,1.66E-31,65.03711717,0.464267834,0.723040025,0.25877219,5,149887486,R,II,NDST1,TSS200,opensea,TSS200-opensea,,,TRUE,,,,0.302103186
cg07804289,-0.259797687,0.588644082,-9.313735366,2.87E-19,4.43E-18,32.40960311,0.825078668,0.56528098,-0.259797687,1,153114690,R,II,SPRR2C,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.302020811
cg00243661,-0.27740016,0.630820162,-9.368159805,1.84E-19,2.90E-18,32.84903591,0.883274265,0.605874104,-0.27740016,11,6913644,F,II,OR2D2,1stExon,opensea,1stExon-opensea,,,,,,,-0.301973235
cg13553455,0.243042742,0.677737915,11.3088045,7.92E-27,3.03E-25,49.65762237,0.456551534,0.699594276,0.243042742,10,105846002,R,II,COL17A1,TSS1500,opensea,TSS1500-opensea,,,,,,,0.301944329
cg18738581,0.278461219,0.601035396,10.42086949,2.41E-23,5.85E-22,41.70247778,0.347615654,0.626076873,0.278461219,3,9944183,R,II,IL17RE,TSS200,opensea,TSS200-opensea,,,TRUE,,,,0.301891343
cg03052099,0.257048019,0.636460678,12.87857072,2.16E-33,2.32E-31,64.67515911,0.402528488,0.659576507,0.257048019,16,67951373,R,II,PSKH1,Body,opensea,Body-opensea,,,TRUE,,,,0.301870129
cg13277939,0.269086045,0.61686485,11.49987325,1.34E-27,5.73E-26,51.42325854,0.371977191,0.641063236,0.269086045,14,39735211,F,II,CTAGE5,TSS1500,shore,TSS1500-shore,chr14:39735802-39736902,,,,,,0.30186929
cg23724738,-0.260399323,0.571574667,-9.807784263,4.76E-21,8.90E-20,36.46592713,0.808556785,0.548157462,-0.260399323,1,152538380,R,II,LCE3E,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.301863185
cg18734330,0.262641925,0.619360217,12.70041487,1.27E-32,1.19E-30,62.91512176,0.38033717,0.642979095,0.262641925,14,95876455,F,II,C14orf139,TSS200,opensea,TSS200-opensea,,,,,rs12892702,,0.30181119
cg08465307,-0.266570328,0.382623992,-10.62869894,3.83E-24,1.03E-22,43.52629767,0.625222168,0.35865184,-0.266570328,1,3827081,R,I,LOC100133612,Body,shelf,Body-shelf,chr1:3824219-3824456,,,,,,-0.301756153
cg11351779,0.258199469,0.715802809,9.769987121,6.54E-21,1.20E-19,36.15032795,0.480822716,0.739022185,0.258199469,22,43820888,R,II,MPPED1,5'UTR,island,5'UTR-island,chr22:43820887-43821136,,TRUE,,,,0.301728832
cg07721569,0.266952529,0.445352992,9.020452575,3.04E-18,4.21E-17,30.07400288,0.202406985,0.469359514,0.266952529,6,10420287,F,II,TFAP2A,TSS1500,island,TSS1500-island,chr6:10419399-10420323,TRUE,,,,,0.301699112
cg21156386,0.271038665,0.779492452,11.81281964,6.99E-29,3.61E-27,54.35410168,0.532827767,0.803866432,0.271038665,11,692983,F,II,DEAF1,Body,shore,Body-shore,chr11:694761-696375,,,,,,0.301555304
cg24926465,-0.276666402,0.576211724,-10.72361366,1.64E-24,4.61E-23,44.36715646,0.827998054,0.551331652,-0.276666402,3,156007787,R,II,KCNAB1,TSS1500,shore,TSS1500-shore,chr3:156008991-156009320,,,,,,-0.30152249
cg23853165,-0.2525586,0.598524364,-8.851882748,1.15E-17,1.51E-16,28.75673591,0.82837086,0.57581226,-0.2525586,10,42864912,R,II,LOC441666,TSS1500,shore,TSS1500-shore,chr10:42862953-42863216,,,,,,-0.301475972
cg25138553,0.292462556,0.656559431,13.83965823,1.23E-37,2.83E-35,74.38909718,0.390397465,0.682860021,0.292462556,1,22223841,F,II,HSPG2,Body,opensea,Body-opensea,,TRUE,,,,,0.301443453
cg15347788,0.277430894,0.603073632,8.794813423,1.80E-17,2.31E-16,28.31500572,0.350591559,0.628022453,0.277430894,18,74172098,F,II,ZNF516,5'UTR,shore,5'UTR-shore,chr18:74170530-74170791,TRUE,,,,,0.301371298
cg05845376,0.280293235,0.785715833,15.66426889,4.59E-46,5.36E-43,93.71102168,0.530628824,0.81092206,0.280293235,5,140683632,F,I,SLC25A2,TSS200,island,TSS200-island,chr5:140683195-140683773,,,,rs7724001,,0.301361347
cg26431815,0.249961027,0.700244872,10.48348662,1.39E-23,3.47E-22,42.24944675,0.472762355,0.722723382,0.249961027,8,668053,R,I,ERICH1,Body,shelf,Body-shelf,chr8:663998-664794,,,,,rs34473427,0.301352868
cg07648740,-0.257871236,0.427873975,-10.79636448,8.53E-25,2.48E-23,45.01498184,0.662555352,0.404684116,-0.257871236,7,154864630,F,II,HTR5A,Body,shore,Body-shore,chr7:154862680-154863245,,,,rs76061152,,-0.301225982
cg23697796,0.26717253,0.590153926,11.64117366,3.55E-28,1.65E-26,52.74067306,0.347007702,0.614180233,0.26717253,10,93334974,R,II,LOC100188947,Body,opensea,Body-opensea,,,,,,,0.301146752
cg24697184,0.301141427,0.366757544,9.617192011,2.35E-20,4.08E-19,34.88332623,0.092697181,0.393838608,0.301141427,1,55266578,R,II,TTC22,1stExon,island,1stExon-island,chr1:55266277-55267058,TRUE,TRUE,,,,0.301141427
cg11684647,0.259499253,0.335025588,9.276795849,3.87E-19,5.89E-18,32.11241072,0.098862599,0.358361852,0.259499253,12,40618356,R,II,LRRK2,TSS1500,island,TSS1500-island,chr12:40618355-40618913,TRUE,,,,,0.301132823
cg21447550,0.259718296,0.3570348,9.529629097,4.87E-20,8.16E-19,34.16366746,0.120672466,0.380390762,0.259718296,1,223538623,F,II,SUSD4,TSS1500,island,TSS1500-island,chr1:223536842-223538628,,,,,,0.301119353
cg08273233,-0.277494268,0.53053936,-11.28524698,9.85E-27,3.72E-25,49.44120654,0.783079108,0.505584839,-0.277494268,6,87724979,R,II,HTR1E,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.301105144
cg13341412,0.26871962,0.387465832,8.637568906,6.11E-17,7.43E-16,27.10909943,0.142911646,0.411631266,0.26871962,6,124151453,R,II,NKAIN2,Body,opensea,Body-opensea,,,TRUE,,,,0.301064505
cg13060997,0.258875366,0.323999464,8.582131792,9.37E-17,1.12E-15,26.68790522,0.088404257,0.347279623,0.258875366,13,37006611,F,II,CCNA1,5'UTR,shore,5'UTR-shore,chr13:37005581-37006453,TRUE,,,,,0.301023715
cg02923856,0.26883486,0.68265667,13.27080679,4.18E-35,6.02E-33,68.59611837,0.437997607,0.706832467,0.26883486,3,23989124,R,II,NR1D2,5'UTR,shore,5'UTR-shore,chr3:23986693-23988021,TRUE,,,,,0.300955817
cg09213964,0.266858959,0.664077318,12.01076331,1.05E-29,6.17E-28,56.2321724,0.421216467,0.688075426,0.266858959,12,122668037,F,II,LRRC43,5'UTR,island,5'UTR-island,chr12:122667648-122668038,TRUE,,,,,0.300915821
cg13564742,0.264751513,0.571378246,10.98586641,1.54E-25,4.93E-24,46.71578303,0.330435323,0.595186835,0.264751513,9,100614879,F,II,FOXE1,TSS1500,shore,TSS1500-shore,chr9:100615234-100617510,,,,,,0.300894278
cg15183092,0.24925224,0.472583423,10.79602197,8.55E-25,2.49E-23,45.01192522,0.245745952,0.494998193,0.24925224,7,150710447,F,II,ATG9B,3'UTR,island,3'UTR-island,chr7:150710349-150711333,TRUE,,,,,0.300806773
cg15057670,-0.249964707,0.564616897,-10.25019696,1.07E-22,2.41E-21,40.22287011,0.792102764,0.542138057,-0.249964707,19,51359872,R,II,KLK3,Body,opensea,Body-opensea,,,,,,,-0.300799772
cg01099825,0.253597147,0.746561719,11.96744765,1.60E-29,9.09E-28,55.8196216,0.515770071,0.769367218,0.253597147,9,140166114,R,II,COBRA1,Body,shore,Body-shore,chr9:140167199-140167452,,,,,,0.30079802
cg03720950,0.244023465,0.58857612,11.26854499,1.15E-26,4.31E-25,49.28794169,0.366497211,0.610520676,0.244023465,12,112629930,F,II,C12orf51,Body,opensea,Body-opensea,,,TRUE,,rs35702240,,0.300767115
cg05094137,0.267144562,0.378695045,10.34992887,4.49E-23,1.06E-21,41.08546683,0.135574275,0.402718837,0.267144562,16,53125208,R,II,CHD9,5'UTR,opensea,5'UTR-opensea,,TRUE,TRUE,,,,0.300755847
cg23256675,0.283840783,0.495083816,10.01293064,8.31E-22,1.69E-20,38.19373439,0.236768284,0.520609067,0.283840783,5,111078579,F,II,C5orf13,Body,opensea,Body-opensea,,,,,,,0.300747583
cg08362102,0.24602997,0.390328854,7.254377684,1.36E-12,1.09E-11,17.24426239,0.166423881,0.412453851,0.24602997,15,69087774,F,II,ANP32A,Body,opensea,Body-opensea,,TRUE,TRUE,,,,0.300719773
cg24192569,0.264789662,0.645274214,13.09132238,2.56E-34,3.24E-32,66.79420952,0.404296572,0.669086234,0.264789662,7,4184151,R,II,SDK1,Body,opensea,Body-opensea,,,TRUE,,,,0.300669123
cg24846807,-0.258213958,0.604966582,-10.00492085,8.90E-22,1.80E-20,38.12580602,0.839959861,0.581745903,-0.258213958,1,75043066,R,II,C1orf173,Body,opensea,Body-opensea,,,,,,,-0.300640134
cg06894651,0.254537354,0.415319464,8.672911683,4.65E-17,5.72E-16,27.37870253,0.183672159,0.438209514,0.254537354,1,151689203,F,I,TNRC4,5'UTR,opensea,5'UTR-opensea,,TRUE,,,,,0.30063523
cg06535308,0.270887713,0.404474422,12.93022441,1.29E-33,1.44E-31,65.18793436,0.157947115,0.428834828,0.270887713,11,17497693,F,II,ABCC8,Body,island,Body-island,chr11:17497463-17498626,,,,,,0.300618446
cg15006175,0.272868238,0.706081731,15.13202147,1.47E-43,1.02E-40,87.9692325,0.457752003,0.730620241,0.272868238,8,145698660,F,I,KIFC2,Body,island,Body-island,chr8:145697879-145698784,,,,,,0.300612706
cg07073096,-0.269059185,0.522589884,-12.0556061,6.86E-30,4.13E-28,56.66018849,0.767453099,0.498393914,-0.269059185,7,2870441,R,II,GNA12,Body,opensea,Body-opensea,,,TRUE,,,,-0.300553144
cg04089901,0.274389354,0.701661167,13.98082424,2.86E-38,7.34E-36,75.84518234,0.451947114,0.726336468,0.274389354,7,7557590,R,II,COL28A1,Body,opensea,Body-opensea,,,,,,,0.300449812
cg26683025,0.256311155,0.722343391,11.72745635,1.57E-28,7.72E-27,53.54993081,0.4890818,0.745392955,0.256311155,11,65560420,R,I,OVOL1,Body,opensea,Body-opensea,,TRUE,,,,,0.300448498
cg09451427,0.262966277,0.41900501,7.827381098,2.54E-14,2.39E-13,21.16452744,0.179686779,0.442653057,0.262966277,3,50488230,F,I,CACNA2D2,Body,opensea,Body-opensea,,,,,rs74532054,,0.300416783
cg12542255,0.244535523,0.698471265,10.21759284,1.42E-22,3.15E-21,39.94210501,0.475926347,0.720461869,0.244535523,19,45976195,F,I,FOSB,Body,island,Body-island,chr19:45975848-45976262,,TRUE,,,,0.300337087
cg02854396,-0.282191721,0.564162691,-11.16598608,2.96E-26,1.05E-24,48.34994764,0.820977458,0.538785737,-0.282191721,12,72696687,F,II,TRHDE,Body,opensea,Body-opensea,,,TRUE,,,,-0.300332433
cg25479916,0.254492559,0.380653366,7.037808476,5.78E-12,4.34E-11,15.8265577,0.149046829,0.403539387,0.254492559,6,27841392,F,II,HIST1H4L,TSS200,shore,TSS200-shore,chr6:27839698-27840069,,,,,,0.300296199
cg07452312,0.258941046,0.704504882,12.55750792,5.19E-32,4.39E-30,61.51305807,0.468849901,0.727790948,0.258941046,5,153775466,R,II,GALNT10,Body,opensea,Body-opensea,,,TRUE,,,,0.300262642
