CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate
cg22212414,0.359114589110234,0.430043183798015,10.5047201018776,1.14977802580243e-23,2.9043996655946e-22,42.4354220174127,0.103223072125751,0.462337661235985,0.359114589110234,21,34775032,F,I,IFNGR2,TSS200,shore,TSS200-shore,chr21:34775437-34776493,True,,high-CpG:33696828-33697793,,,0.3959381194788538,hyper,0.12,0.9288702928870294,0.9270833333333334
cg12781915,0.331967813122403,0.625711497767554,13.3553017028329,1.7724537536065402e-35,2.74067391851849e-33,69.448794355056,0.323596905249683,0.655564718372087,0.331967813122404,3,185544099,R,II,IGF2BP2,TSS1500,island,TSS1500-island,chr3:185541048-185544146,,,,,,0.4123605784306045,hyper,0.47,0.9313929313929312,0.8666666666666667
cg07589773,0.337993856453864,0.466404466824702,10.9908352645641,1.4676202382004702e-25,4.72501827522785e-24,46.7606357898471,0.158805741346905,0.496799597800769,0.337993856453865,7,50343883,F,I,IKZF1,TSS1500,island,TSS1500-island,chr7:50343757-50344519,,,high-CpG:50313999-50314998,,,0.4694403614943672,hyper,0.29,0.8864628820960699,0.8972972972972972
cg07935264,0.343274659026998,0.587201999476194,14.8925042721114,1.91142754148254e-42,1.07487084939229e-39,85.4120592213646,0.274797363742991,0.618072022769989,0.343274659026998,2,113594375,R,II,IL1B,TSS200,opensea,TSS200-opensea,,,,,,,0.3848317725446601,hyper,0.37,0.9508196721311476,0.9148936170212766
cg10119075,0.415495678216944,0.596070154894217,15.8172425611504,8.622924987392271e-47,1.15444394835655e-43,95.3756156478441,0.217939195941387,0.633434874158331,0.415495678216943,10,7709738,F,II,ITIH5,TSS1500,opensea,TSS1500-opensea,,,,,,,0.483559218180087,hyper,0.39,0.9506172839506172,0.9206349206349206
cg10101773,0.316279423782669,0.625658158925076,13.7516486174796,3.06431723583078e-37,6.46557187720539e-35,73.4849386591963,0.337821129367466,0.654100553150136,0.31627942378267,14,75894136,F,I,JDP2,TSS1500,shore,TSS1500-shore,chr14:75894308-75895469,,,,,,0.3861269569207745,hyper,0.46,0.9399585921325052,0.9319371727748691
cg20883831,0.462837738888281,0.54304106401273,16.1443561293966,2.37001714840377e-48,4.20571840243038e-45,98.9553366050009,0.121825423945337,0.584663162833619,0.462837738888281,7,150652948,F,I,KCNH2,TSS200,island,TSS200-island,chr7:150652807-150653080,True,True,high-CpG:150283794-150283891,,,0.5537901515578136,hyper,0.16,0.9718875502008032,0.9696969696969697
cg05447008,0.332219586389377,0.503842609660346,11.7997214181136,7.91513707386282e-29,4.05959665013301e-27,54.2304820266623,0.201498885356344,0.533718471745722,0.332219586389378,6,73331114,R,I,KCNQ5,TSS1500,island,TSS1500-island,chr6:73330942-73333109,True,,,,,0.3842017174305099,hyper,0.37,0.8893709327548808,0.8379888268156425
cg00668150,0.350836227310696,0.488214859035493,13.3147123615944,2.67667197325402e-35,4.00388620158262e-33,69.0388412574351,0.168928652166407,0.519764879477103,0.350836227310696,17,2615720,F,I,KIAA0664,TSS1500,shore,TSS1500-shore,chr17:2614320-2615630,,,,rs9916715,,0.36939546042354,hyper,0.32,0.9191489361702126,0.9090909090909092
cg12604950,0.342620355059661,0.432335681001328,13.4649967230168,5.7995909146742296e-36,9.67983629128224e-34,70.5599044404252,0.12052650895063,0.46314686401029,0.342620355059661,1,180882287,F,II,KIAA1614,TSS200,island,TSS200-island,chr1:180881316-180882592,True,,,,,0.3803066678156876,hyper,0.15,0.9656565656565655,0.9591836734693877
cg26067203,0.364894605844353,0.454031849700121,13.4072661511968,1.0446844647301e-35,1.67740298358424e-33,69.9745690092263,0.121951506971267,0.486846112815621,0.364894605844353,1,1935289,R,I,KIAA1751,TSS200,island,TSS200-island,chr1:1935166-1935452,True,,,,,0.4279900520218155,hyper,0.26,0.9260042283298098,0.9139784946236558
cg07429623,0.326574200061065,0.599866073399612,12.7907205203404,5.16865585895897e-33,5.1838821045578714e-31,63.8056025691606,0.302660056797275,0.629234256858341,0.326574200061065,1,205326201,F,II,KLHDC8A,TSS200,opensea,TSS200-opensea,,,,,,,0.3720538965647377,hyper,0.43,0.9397089397089397,0.8804347826086957
cg20104456,0.394128198195543,0.64874755347794,15.3576074188691,1.2840993715746601e-44,1.10897189603547e-41,90.3930891171264,0.290062538573364,0.684190736768906,0.394128198195542,19,51568523,R,II,KLK13,TSS200,shore,TSS200-shore,chr19:51568154-51568412,,True,,,,0.44240678114374,hyper,0.48,0.9308176100628932,0.8729281767955802
cg14537533,0.327430594713418,0.583119461055121,12.1529650265936,2.68195767436234e-30,1.72207865998205e-28,57.5926602518391,0.285134063708018,0.612564658421435,0.327430594713418,12,52626904,R,I,KRT7,TSS200,island,TSS200-island,chr12:52626793-52627577,True,,,,,0.3830147545401858,hyper,0.39,0.9230769230769232,0.9285714285714285
cg20640433,0.371490234429857,0.488143714048965,10.2388433690425,1.18283688123693e-22,2.64811443052689e-21,40.1250312771519,0.150060874801649,0.521551109231506,0.371490234429857,6,129204206,R,II,LAMA2,TSS200,opensea,TSS200-opensea,,True,True,,,,0.4189184562142145,hyper,0.25,0.8864628820960699,0.9139784946236558
cg19820372,0.351296752227615,0.454776626468304,13.7202908078737,4.23324642879293e-37,8.716849878183061e-35,73.1634704653021,0.135071308793532,0.486368061021147,0.351296752227615,11,111411216,R,II,LAYN,TSS200,island,TSS200-island,chr11:111410932-111412199,True,,,,,0.3943623424685734,hyper,0.22,0.9614604462474644,0.9148936170212766
cg26412532,0.407850797486297,0.51874839784311,15.3088955079509,2.1748213308468801e-44,1.79819485444231e-41,89.8684573073042,0.147574830346587,0.555425627832885,0.407850797486298,10,103881068,F,II,LDB1,TSS1500,shore,TSS1500-shore,chr10:103879633-103880628,,,,,,0.4904813759565571,hyper,0.33,0.9397089397089397,0.9090909090909092
cg23274561,0.312324583045367,0.51766633751731,13.1628527908174,1.2442857021075899e-34,1.65894503733101e-32,67.5107915651662,0.233428497551561,0.545753080596929,0.312324583045368,1,156084271,R,II,LMNA,TSS200,shore,TSS200-shore,chr1:156084486-156085097,,,,,,0.3772309121493222,hyper,0.36,0.931106471816284,0.8666666666666667
cg24257776,0.328597433909656,0.604051086778765,16.4801203952806,5.76640715352708e-50,1.46577783999504e-46,102.656950393112,0.30500378181782,0.633601215727476,0.328597433909656,3,47051546,F,I,LOC100129354,TSS1500,island,TSS1500-island,chr3:47050486-47051609,True,True,,,,0.3831160544467233,hyper,0.45,0.9614604462474644,0.9435897435897437
cg19664945,0.365166580756809,0.528224742368649,12.7448602769245,8.14952649475356e-33,7.89771410344864e-31,63.3529556404779,0.19589688290292,0.561063463659729,0.365166580756809,2,54087343,R,II,LOC100302652,TSS200,shore,TSS200-shore,chr2:54086776-54087266,,True,,,,0.410641940659348,hyper,0.34,0.926315789473684,0.8666666666666667
cg25908973,0.367159796862732,0.536823184297853,14.6911765752844,1.63385359902604e-41,7.87021630245316e-39,83.2761520881373,0.202681354778892,0.569841151641624,0.367159796862732,15,45670865,R,I,LOC145663,TSS200,island,TSS200-island,chr15:45669970-45671029,True,,high-CpG:43457916-43458250,,,0.4165862437293676,hyper,0.38,0.937759336099585,0.9435897435897437
cg03596016,0.453678154976779,0.641751583272735,16.7488515197773,2.89224973252159e-51,1.01689608469466e-47,105.638274319168,0.228871823527681,0.682549978504459,0.453678154976779,1,246952362,R,I,LOC149134,TSS1500,island,TSS1500-island,chr1:246952214-246952511,,True,,,,0.5364301399650767,hyper,0.53,0.9125799573560768,0.9032258064516129
cg22645427,0.347551841152167,0.445681624808384,13.8974880095885,6.78616819608851e-38,1.62610853898693e-35,74.9847320392977,0.129384445630333,0.476936286782499,0.347551841152166,20,25129520,F,I,LOC284798,TSS1500,island,TSS1500-island,chr20:25128764-25129610,True,True,,,,0.4282315949023955,hyper,0.27,0.9330543933054394,0.9100529100529101
cg07599133,0.314918514609546,0.401954680185191,13.4803601864239,4.95778193646439e-36,8.3638670556394e-34,70.7158908851203,0.115356175882258,0.430274690491805,0.314918514609546,19,35068628,R,I,LOC643719,TSS200,island,TSS200-island,chr19:35068406-35068897,,,,,,0.3718351957625643,hyper,0.18,0.959349593495935,0.9430051813471503
cg14102988,0.397848044983532,0.508560546253403,13.5523579636366,2.37460900207368e-36,4.23183221044589e-34,71.4480852275922,0.14649020315688,0.544338248140411,0.397848044983532,9,113801337,R,II,LPAR1,TSS1500,island,TSS1500-island,chr9:113799913-113801375,,,high-CpG:112840107-112841306,,,0.4570107478901821,hyper,0.2,0.952965235173824,0.9263157894736842
cg00353923,0.348721024166242,0.471565503844602,10.2958181721422,7.201733375209721e-23,1.65243236424785e-21,40.6167516180349,0.154204284009857,0.502925308176099,0.348721024166242,7,127671044,R,II,LRRC4,TSS200,shore,TSS200-shore,chr7:127671158-127672853,True,,,,,0.3695563711438295,hyper,0.23,0.8908296943231441,0.8342857142857143
cg09629657,0.333094553453318,0.465315064910212,15.935872415799,2.34922143573469e-47,3.45230019621316e-44,96.6706946914286,0.162175057630754,0.495269611084072,0.333094553453318,5,179220795,R,II,LTC4S,TSS200,shore,TSS200-shore,chr5:179222608-179223825,,,,,,0.3813644105569204,hyper,0.29,0.9527720739219712,0.9206349206349206
cg26307117,0.346015325696733,0.550796856991096,13.1526181687382,1.37960246893148e-34,1.82751178459285e-32,67.4081368804691,0.235898017418171,0.581913343114903,0.346015325696732,3,46506552,F,I,LTF,TSS200,shore,TSS200-shore,chr3:46506161-46506416,,,,,,0.3975684747367041,hyper,0.36,0.937759336099585,0.9090909090909092
cg00349607,0.384334453192931,0.517142619816911,13.7388458044174,3.49663693939461e-37,7.30125110741531e-35,73.353645561916,0.167370617450682,0.551705070643613,0.384334453192931,1,39546688,R,I,MACF1,TSS1500,shore,TSS1500-shore,chr1:39547013-39547959,True,,,,,0.436877342224263,hyper,0.17,0.972,0.9702970297029702
cg24021956,0.322300583772932,0.425204494514247,10.7879969810486,9.19510080292509e-25,2.66731659924777e-23,44.9403259801706,0.131887776188521,0.454188359961453,0.322300583772932,7,79083509,R,II,MAGI2,TSS1500,island,TSS1500-island,chr7:79082948-79083850,True,,,rs79578319,,0.3682302223755507,hyper,0.17,0.9288702928870294,0.9319371727748691
cg14578894,0.365326523033347,0.658719946654288,14.4099680981246,3.20311976106687e-40,1.18140163697271e-37,80.3143225666526,0.326246528210271,0.691573051243618,0.365326523033348,4,87281511,F,II,MAPK10,TSS200,opensea,TSS200-opensea,,,,,,,0.3825196030581155,hyper,0.51,0.9266247379454926,0.850828729281768
cg06679087,0.376262158362475,0.540485242717263,13.2898254593126,3.4452706726023704e-35,5.05313081242251e-33,68.7878008986539,0.198059609387384,0.574321767749859,0.376262158362475,10,99473206,R,I,MARVELD1,TSS1500,island,TSS1500-island,chr10:99473084-99473291,,,,,,0.4541091646651355,hyper,0.36,0.919831223628692,0.8961748633879781
cg21098557,0.321330284172222,0.470476590173239,13.934940469569,4.602161654631769e-38,1.13980001664302e-35,75.3711244656251,0.178042914289887,0.499373198462108,0.321330284172221,5,43191993,R,I,MGC42105,TSS1500,island,TSS1500-island,chr5:43191974-43193155,True,,,,,0.3806309713670979,hyper,0.3,0.9421487603305784,0.9206349206349206
cg05687686,0.304934430543019,0.531466078314448,14.0775339394982,1.04438683107657e-38,2.88687397343982e-36,76.8467913217636,0.253953808791485,0.558888239334504,0.304934430543019,2,180726697,R,I,MIR1258,TSS1500,shore,TSS1500-shore,chr2:180725717-180726465,True,,,,,0.3693216942372839,hyper,0.4,0.9375,0.925531914893617
cg26371731,0.362886427151108,0.511295572054902,12.2220868378342,1.37376924472465e-30,9.2619867152623e-29,58.2573208934124,0.18104281641019,0.543929243561297,0.362886427151107,1,156390240,F,I,MIR9-1,TSS200,shore,TSS200-shore,chr1:156390403-156391581,,,,,,0.4293979645240133,hyper,0.24,0.933609958506224,0.964824120603015
cg17918002,0.338197522983944,0.557658804985477,13.8930503190906,7.10550587411223e-38,1.6972233888066e-35,74.9389821692516,0.249874728313039,0.588072251296983,0.338197522983944,10,28035719,R,II,MKX,TSS1500,shore,TSS1500-shore,chr10:28030182-28035211,,,,,,0.3890922076919261,hyper,0.36,0.948875255623722,0.9263157894736842
cg01508380,0.364198029460659,0.484478321975611,11.9431977001582,2.01559975490133e-29,1.12889490217754e-27,55.5890415488631,0.153031913869328,0.517229943329987,0.364198029460658,14,23305585,F,II,MMP14,TSS1500,shore,TSS1500-shore,chr14:23305893-23307013,,,,,,0.4167373640013005,hyper,0.22,0.931106471816284,0.8791208791208791
cg15355146,0.344632144799813,0.572900588224336,14.7196110851589,1.20762274572768e-41,5.993584631352e-39,83.5770495398887,0.259260542777024,0.603892687576837,0.344632144799813,1,40368366,R,II,MYCL1,TSS1500,shore,TSS1500-shore,chr1:40366595-40368213,,,,,rs11368268,0.3837760602658288,hyper,0.36,0.9462809917355371,0.9214659685863875
cg22287064,0.375409570167417,0.624464475949362,15.5964343595413,9.60719282860507e-46,1.04458785493797e-42,92.974868326606,0.282814759214266,0.658224329381684,0.375409570167418,17,73584070,R,I,MYO15B,TSS200,island,TSS200-island,chr17:73583838-73586337,,,high-CpG:71095432-71096174,,,0.4000362824129447,hyper,0.44,0.952965235173824,0.9278350515463918
cg05933736,0.305875870893702,0.612291860768295,10.9108543262811,3.03371264197276e-25,9.35413379619182e-24,46.0402522684713,0.333922812796688,0.63979868369039,0.305875870893702,13,109248331,R,II,MYO16,TSS200,opensea,TSS200-opensea,,,,,,,0.3833062540481242,hyper,0.35,0.9338842975206612,0.9109947643979057
cg01373189,0.37715893216824,0.540226834321467,14.9655081825747,8.752549165467639e-43,5.28531742984712e-40,86.1896493449838,0.196985072312242,0.574144004480481,0.377158932168239,13,33002820,R,II,N4BP2L1,TSS1500,shore,TSS1500-shore,chr13:33001249-33002078,,,,,,0.4315219050360804,hyper,0.31,0.959349593495935,0.8924731182795699
cg19300568,0.365708439612021,0.499882225250407,14.431128927791,2.56275560364551e-40,9.65086558427887e-38,80.5363035270092,0.167061235243784,0.532769674855805,0.365708439612021,4,2060112,F,I,NAT8L,TSS1500,island,TSS1500-island,chr4:2059928-2063181,,,,,,0.3948320675588586,hyper,0.33,0.9327731092436976,0.9263157894736842
cg19113375,0.36930020379027,0.485922982581912,11.3378900455878,6.04876180503537e-27,2.35639891774188e-25,49.9252111667227,0.149833228772782,0.519133432563051,0.369300203790269,9,98784351,F,II,NCRNA00092,TSS1500,island,TSS1500-island,chr9:98783216-98784364,,,,,,0.4200247131930424,hyper,0.26,0.908315565031983,0.9139784946236558
cg20902783,0.342560820560275,0.602544468408988,14.9099690222893,1.58587352052407e-42,9.0808759176371e-40,85.5979348190893,0.290789477035788,0.633350297596063,0.342560820560275,14,21494071,R,II,NDRG2,TSS1500,island,TSS1500-island,chr14:21492735-21494270,True,,,,,0.3948637413686182,hyper,0.42,0.9508196721311476,0.8972972972972972
cg18363192,0.342871752289581,0.481908980943723,12.2389508063534,1.16651125962108e-30,7.93719241138991e-29,58.4198106141065,0.169871019327666,0.512742771617247,0.342871752289581,6,31831434,R,II,NEU1,TSS1500,shore,TSS1500-shore,chr6:31830299-31830948,,,,,,0.39326338502859,hyper,0.31,0.9106382978723404,0.8555555555555556
cg18711066,0.356505591874763,0.478427817961566,12.9947900360644,6.74299606892771e-34,7.91497296758486e-32,65.8304340792594,0.153982081471225,0.510487673345987,0.356505591874763,16,68118822,F,II,NFATC3,TSS1500,island,TSS1500-island,chr16:68118564-68119986,,,,,,0.4161563078927982,hyper,0.2,0.9595141700404858,0.9032258064516129
cg01781974,0.314698391985311,0.436485032943996,10.8518050767586,5.17451766140819e-25,1.54965723356955e-23,45.5105821380218,0.150086856065278,0.464785248050589,0.314698391985311,14,52535973,R,I,NID2,TSS200,island,TSS200-island,chr14:52534581-52536722,True,,high-CpG:51605470-51605775,,,0.3685930407197162,hyper,0.22,0.905982905982906,0.9319371727748691
cg23483765,0.361622869645814,0.522351906976638,11.4256320874769,2.67519467310381e-27,1.09715645044698e-25,50.7350317560281,0.19324907956516,0.554871949210974,0.361622869645814,5,156886996,R,I,NIPAL4,TSS200,island,TSS200-island,chr5:156886969-156887440,,,,,,0.3857763277952198,hyper,0.28,0.921443736730361,0.9430051813471503
cg03694713,0.359318036447685,0.520859423219214,13.1809839077051,1.0362174990895e-34,1.39623998655074e-32,67.6927517372471,0.193854159833372,0.553172196281056,0.359318036447684,8,23564156,F,II,NKX2-6,TSS1500,island,TSS1500-island,chr8:23562475-23565175,,True,,,,0.4302982427607179,hyper,0.25,0.9552845528455284,0.9375
cg15866977,0.381183325828652,0.43918432248288,11.6418655773785,3.52518121781057e-28,1.64397024922081e-26,52.7471482850724,0.0922800727179559,0.473463398546607,0.381183325828651,17,79919578,F,I,NOTUM,TSS1500,island,TSS1500-island,chr17:79917286-79920022,,,,,,0.4353485035569202,hyper,0.11,0.937759336099585,0.9484536082474226
cg00536939,0.409704033357012,0.514341935467945,15.3720320507651,1.0984580973873201e-44,9.610358802967347e-42,90.5485726111185,0.141481790002751,0.551185823359763,0.409704033357012,11,47279352,R,II,NR1H3,TSS200,opensea,TSS200-opensea,,True,True,,,,0.465295211340527,hyper,0.27,0.9462809917355371,0.9319371727748691
cg03430846,0.323537739807327,0.423974354636849,10.143018356129,2.7136586620107298e-22,5.83934082789994e-21,39.3022198838852,0.129531735315792,0.453069475123119,0.323537739807327,8,31497082,F,II,NRG1,TSS200,island,TSS200-island,chr8:31496525-31498346,,,,,,0.3692237374532006,hyper,0.15,0.937759336099585,0.8913043478260869
cg02852959,0.378268963678029,0.572356386305205,12.0024639803231,1.14236419373579e-29,6.64034489345445e-28,56.1530593385684,0.22810441576369,0.606373379441718,0.378268963678028,12,2944436,R,II,NRIP2,TSS1500,opensea,TSS1500-opensea,,True,True,,,,0.4149888973059742,hyper,0.39,0.9079229122055676,0.8651685393258428
cg18016826,0.329743909946757,0.509425284486857,12.9755309125807,8.1779526111992e-34,9.44317575842908e-32,65.6386054963448,0.209334603851858,0.539078513798616,0.329743909946758,5,176560001,R,II,NSD1,TSS200,island,TSS200-island,chr5:176558852-176561652,,,high-CpG:176492410-176492673,,,0.3956766044610277,hyper,0.32,0.9402061855670104,0.8864864864864864
cg18525352,0.374427690336222,0.625537307323645,14.8404262137465,3.3336498030975096e-42,1.79675605182564e-39,84.8583523937244,0.284781171873774,0.659208862209996,0.374427690336223,12,106533867,R,I,NUAK1,TSS200,shore,TSS200-shore,chr12:106532106-106533696,,,,,,0.4306464729369911,hyper,0.38,0.9616161616161616,0.9375
cg21039708,0.355678762376836,0.574860818412928,11.6470292020715,3.3577066556654397e-28,1.57112690596345e-26,52.7954786086469,0.251167556249836,0.606846318626672,0.355678762376836,14,57278729,R,I,OTX2OS1,TSS1500,island,TSS1500-island,chr14:57278709-57279116,,,,,,0.4201241522710559,hyper,0.32,0.9269311064718164,0.9100529100529101
cg24663970,0.375059937931771,0.558722145820344,11.329273576141,6.551957816718e-27,2.53771161375311e-25,49.8458944042389,0.217390619573084,0.592450557504855,0.375059937931771,13,97647084,F,II,OXGR1,TSS1500,shore,TSS1500-shore,chr13:97646394-97646737,,True,,,,0.4470452411023721,hyper,0.28,0.9201680672268908,0.9326424870466321
cg08300419,0.3641160275131,0.517614929047586,18.7250433295799,5.24952921363483e-61,1.3165994252103298e-56,127.990967984216,0.186243148613002,0.550359176126102,0.3641160275131,11,47208959,R,I,PACSIN3,TSS1500,island,TSS1500-island,chr11:47207188-47209176,,,,,,0.443845205287198,hyper,0.33,0.9698189134808854,0.9538461538461539
cg24167314,0.402137505455157,0.543795373572467,11.5495618646639,8.39672593348214e-28,3.70023460209166e-26,51.8854093249394,0.177821312852486,0.579958818307643,0.402137505455157,12,103311500,R,II,PAH,TSS200,shore,TSS200-shore,chr12:103311040-103311253,,True,,,,0.480435473749903,hyper,0.35,0.8984881209503239,0.8409090909090909
cg00970325,0.365936404745921,0.505275283589412,11.903066778105,2.95790124714933e-29,1.61272063577364e-27,55.2080649351678,0.17224682891057,0.538183233656491,0.365936404745921,3,142683176,R,II,PAQR9,TSS1500,island,TSS1500-island,chr3:142681137-142683268,True,,,,,0.4259825896924514,hyper,0.22,0.9399585921325052,0.9319371727748691
cg18077971,0.342277001704585,0.625296468434662,13.6894660685004,5.81402224948155e-37,1.17468541373051e-34,72.8478196468352,0.313799772638761,0.656076774343348,0.342277001704587,2,223164867,F,I,PAX3,TSS1500,shore,TSS1500-shore,chr2:223162946-223163912,,True,,rs45506598,,0.3982673481936719,hyper,0.45,0.9355509355509356,0.9206349206349206
cg22488256,0.380415352655012,0.547260828149111,13.8054488803265,1.75871468408676e-37,3.9011630762197e-35,74.0373160589787,0.201055489222068,0.58147084187708,0.380415352655012,1,66258046,R,II,PDE4B,TSS200,shore,TSS200-shore,chr1:66258440-66258918,,,,,,0.4299553486685182,hyper,0.33,0.9440993788819876,0.9312169312169312
cg12727795,0.343961943338011,0.497204717243409,13.9541787112068,3.76913296142856e-38,9.44681322954185e-36,75.5697974374791,0.184174603342269,0.528136546680281,0.343961943338012,5,149535695,F,II,PDGFRB,TSS1500,opensea,TSS1500-opensea,,,,,,,0.3980224237477301,hyper,0.32,0.9397089397089397,0.8972972972972972
cg04518342,0.307078601938051,0.503581042651168,8.52448673937355,1.45654332595414e-16,1.7032696588249605e-15,26.2521388843958,0.224117422901791,0.531196024839842,0.307078601938051,5,131593106,R,I,PDLIM4,TSS1500,island,TSS1500-island,chr5:131593039-131593813,True,,,,,0.3682375631992102,hyper,0.39,0.8501118568232662,0.8255813953488371
cg18877506,0.352897652964067,0.407452470019892,12.8181183756535,3.93599217503736e-33,4.027032733777351e-31,64.076445179775,0.0862902175022342,0.439187870466301,0.352897652964066,1,13910555,R,II,PDPN,TSS1500,island,TSS1500-island,chr1:13910137-13910868,True,,,,,0.3806001125637348,hyper,0.17,0.9462809917355371,0.9484536082474226
cg26582768,0.340212135333495,0.438614764854815,8.75671999955092,2.42765126725056e-17,3.06835056272802e-16,28.0213543118086,0.128997246008145,0.46920938134164,0.340212135333495,10,102792043,R,II,PDZD7,TSS1500,island,TSS1500-island,chr10:102792042-102792266,,,high-CpG:102781809-102782204,,,0.4111087159067003,hyper,0.28,0.8302752293577982,0.8117647058823529
cg10708955,0.343346685020643,0.561802734530941,13.8729831595515,8.74707720000744e-38,2.054116215998e-35,74.7321902470591,0.249332549961794,0.592679234982438,0.343346685020644,17,8056950,R,II,PER1,TSS1500,shore,TSS1500-shore,chr17:8054550-8055835,True,True,,,,0.373679097108589,hyper,0.33,0.9490835030549898,0.9319371727748691
cg07198194,0.418193306433006,0.539452539289306,18.4328048444547,1.50723882659658e-59,2.7001465845703198e-55,124.644481176863,0.158866544585887,0.577059851018893,0.418193306433006,10,3109053,R,I,PFKP,TSS1500,island,TSS1500-island,chr10:3108650-3111419,,,,,,0.5045797129355043,hyper,0.29,0.9698189134808854,0.9538461538461539
cg24530250,0.3732246861303,0.46498006372289,11.4967767735769,1.37674960245324e-27,5.88702073415458e-26,51.394498858506,0.125318748647472,0.498543434777773,0.373224686130301,11,71955599,R,I,PHOX2A,TSS1500,island,TSS1500-island,chr11:71954816-71955659,True,,,,,0.426155064015404,hyper,0.11,0.9698189134808854,0.97
cg19725903,0.337514402179453,0.528114655172821,14.1768352080437,3.70268807869495e-39,1.11795326536552e-36,77.8786316610208,0.220952267577851,0.558466669757304,0.337514402179453,12,14721020,F,I,PLBD1,TSS1500,island,TSS1500-island,chr12:14720248-14721093,True,,,,,0.3915354273843276,hyper,0.3,0.952965235173824,0.9270833333333334
cg24182521,0.340640406799769,0.523146335455151,12.4590182626147,1.36472403798039e-31,1.07815205104664e-29,60.5519182614962,0.213139058763275,0.553779465563044,0.340640406799769,20,44541013,F,II,PLTP,TSS1500,shore,TSS1500-shore,chr20:44539729-44540099,True,,,,,0.3777678253811921,hyper,0.31,0.9375,0.9032258064516129
cg18709349,0.373242963832679,0.51086774404802,13.184502378095,1.00005267649445e-34,1.35041212189733e-32,67.7280775498241,0.171189794948497,0.544432758781175,0.373242963832678,19,46999274,F,I,PNMAL2,TSS200,island,TSS200-island,chr19:46999028-46999290,True,,,rs73942484,,0.414777534415594,hyper,0.19,0.9635627530364372,0.9538461538461539
cg04765848,0.425044118911766,0.581558286013666,16.7138234484654,4.27594124020871e-51,1.38675040885579e-47,105.248762179242,0.194737559090369,0.619781678002134,0.425044118911765,1,53527576,R,II,PODN,TSS1500,island,TSS1500-island,chr1:53527572-53528974,,,,,,0.5014939616047428,hyper,0.44,0.9285714285714286,0.8913043478260869
cg23230584,0.383742780231977,0.489381655860523,16.945545236263,3.20390116365217e-52,1.31013438833887e-48,107.830407207345,0.140148118455162,0.52389089868714,0.383742780231978,7,95025740,F,I,PON3,TSS200,island,TSS200-island,chr7:95025559-95026122,,,,,,0.4733573277568517,hyper,0.29,0.952965235173824,0.9375
cg19513834,0.348170488058531,0.449684555366052,11.3872413242029,3.82459093321339e-27,1.53132208602548e-25,50.3802249383408,0.132824362996238,0.480994851054769,0.34817048805853,2,105470561,R,I,POU3F3,TSS1500,island,TSS1500-island,chr2:105468851-105473488,,,high-CpG:104836973-104837008,,,0.38883899375817,hyper,0.19,0.9419087136929462,0.9430051813471503
cg14130039,0.431070513466739,0.582808575791412,15.174808676794,9.24263024229958e-44,6.69966032813933e-41,88.427837877297,0.190503396269524,0.621573909736263,0.431070513466739,6,32121225,R,II,PPT2,TSS200,shore,TSS200-shore,chr6:32121829-32122529,,,,,,0.5089701941531155,hyper,0.21,0.9699398797595192,0.9644670050761421
cg04203238,0.397378973302641,0.563978376071398,16.3109909488247,3.7605774640740594e-49,8.17773436342186e-46,100.789052579295,0.202334921950649,0.599713895253291,0.397378973302641,4,16085702,F,I,PROM1,TSS200,island,TSS200-island,chr4:16084195-16085735,True,,high-CpG:15694060-15695184,,,0.4903926109564518,hyper,0.41,0.9484536082474228,0.9032258064516129
cg08730348,0.374805877314761,0.551456851426933,15.5759597724609,1.20058185330357e-45,1.26163378805048e-42,92.7529182614289,0.210356538618895,0.585162415933656,0.374805877314761,16,31214307,F,II,PYCARD,TSS200,shore,TSS200-shore,chr16:31213566-31214287,True,,,,,0.4235816589438286,hyper,0.4,0.9419087136929462,0.8791208791208791
cg15124757,0.333858045944329,0.455405972457413,9.2382214176598,5.29103999476993e-19,7.92844619307106e-18,31.8029870398558,0.151571132083617,0.485429178027947,0.333858045944329,2,17699904,F,II,RAD51AP2,TSS200,opensea,TSS200-opensea,,True,,,,,0.3783685086433431,hyper,0.2,0.8961038961038962,0.8275862068965518
cg25813864,0.354065528190986,0.419948642324354,10.6782869497994,2.45845756911652e-24,6.75739044194842e-23,43.9649884436715,0.0977235393303998,0.451789067521385,0.354065528190985,17,38334176,R,I,RAPGEFL1,TSS200,island,TSS200-island,chr17:38333605-38334795,True,,,,,0.4076418996137678,hyper,0.11,0.9399585921325052,0.9319371727748691
cg03053374,0.365698414119069,0.488272664066257,16.8105942262511,1.45099198237225e-51,5.35167096792501e-48,106.325501297656,0.155460797979479,0.521159212098548,0.365698414119068,17,38465422,R,II,RARA,TSS200,opensea,TSS200-opensea,,,,,,,0.443729351332617,hyper,0.21,0.9699398797595192,0.9644670050761421
cg02499249,0.461076705372628,0.568310675965825,15.1753106771092,9.1927872031659e-44,6.68930852953004e-41,88.4332216337471,0.148697703090735,0.609774408463363,0.461076705372628,3,25469720,R,II,RARB,TSS200,opensea,TSS200-opensea,,,True,,,,0.5371914007879595,hyper,0.26,0.9570552147239264,0.9263157894736842
