CpG,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10,dbeta,DNAm,cutpoint,F1,F1_validate,F1_dif,early_dbeta,later_dbeta,dbate_dif
cg13316148,-0.262623554,0.640195438,-10.67702887,2.49e-24,6.83e-23,43.95384189,0.879201766,0.616578212,-0.262623554,2,191916269,F,II,STAT4,Body,opensea,Body-opensea,,,True,,,,-0.299687816,hypo,0.84,0.94214876,0.81512605,-0.12702271,-0.310822986,-0.294348145,-0.016474841
cg06118116,-0.262934063,0.568513141,-12.05846773,6.67e-30,4.03e-28,56.68753396,0.807802054,0.544867991,-0.262934063,2,228336171,F,II,AGFG1,TSS1500,shore,TSS1500-shore,chr2:228336752-228337875,,,,,,-0.298914784,hypo,0.75,0.94214876,0.90990991,-0.03223885,-0.301552664,-0.297649836,-0.003902828
cg23397909,-0.261300797,0.639385951,-10.65249289,3.0999999999999997e-24,8.399999999999999e-23,43.73662766,0.877188475,0.615887678,-0.261300797,7,921092,R,II,C7orf20,Body,shelf,Body-shelf,chr7:917632-917859,,,,,,-0.296458958,hypo,0.85,0.94214876,0.877192982,-0.064955778,-0.292646043,-0.298287373,0.00564133
cg00182421,-0.262566047,0.676554239,-9.93456543,1.6200000000000002e-21,3.19e-20,37.53076999,0.915508231,0.652942184,-0.262566047,3,170586396,R,II,RPL22L1,Body,shore,Body-shore,chr3:170587936-170588270,,,,,,-0.29475455,hypo,0.88,0.94214876,0.894736842,-0.047411918,-0.274598736,-0.304419911,0.029821175
cg12271759,-0.265329081,0.655761148,-10.07705188,4.79e-22,1e-20,38.73888125,0.8972297,0.631900619,-0.265329081,2,40468548,R,II,SLC8A1,Body,opensea,Body-opensea,,,True,,,,-0.291903649,hypo,0.87,0.94214876,0.911504425,-0.030644336,-0.297652495,-0.289146893,-0.008505602
cg16354520,-0.273725662,0.558191171,-10.03046685,7.15e-22,1.46e-20,38.34258466,0.807301216,0.533575554,-0.273725662,1,152671707,F,II,LCE2A,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.309213673,hypo,0.79,0.940451745,0.860869565,-0.07958218,-0.292542073,-0.317208241,0.024666168
cg18568534,-0.276023761,0.500931833,-11.93955828,2.0900000000000002e-29,1.1700000000000001e-27,55.55446003,0.752133313,0.476109552,-0.276023761,14,23240117,F,II,OXA1L,Body,shelf,Body-shelf,chr14:23235774-23236578,,,,,,-0.313971345,hypo,0.7,0.940206186,0.811965812,-0.128240374,-0.324928415,-0.308719731,-0.016208684
cg10216717,-0.334686401,0.516445877,-11.57026412,6.91e-28,3.09e-26,52.07831972,0.82103458,0.486348179,-0.334686401,12,128899290,R,II,TMEM132C,Body,shore,Body-shore,chr12:128899813-128900065,,,,,,-0.382975765,hypo,0.75,0.939958592,0.928571429,-0.011387164,-0.368055563,-0.390130481,0.022074918
cg21340845,-0.339600167,0.431658762,-13.54070319,2.68e-36,4.72e-34,71.32942678,0.740719346,0.401119179,-0.339600167,2,142890700,R,II,LRP1B,TSS1500,shelf,TSS1500-shelf,chr2:142887724-142888553,,,,,,-0.370931509,hypo,0.65,0.939958592,0.859649123,-0.080309469,-0.361003211,-0.395155375,0.034152164
cg03545548,-0.278486017,0.602055659,-9.802418311,4.980000000000001e-21,9.29e-20,36.42107011,0.85549797,0.577011952,-0.278486017,3,167320581,R,II,WDR49,Body,opensea,Body-opensea,,,True,,,,-0.323482808,hypo,0.83,0.939958592,0.846153846,-0.093804746,-0.291160403,-0.338982441,0.047822038
cg16933813,-0.294168489,0.594250477,-11.92818105,2.3300000000000002e-29,1.2900000000000002e-27,55.4463945,0.861964966,0.567796477,-0.294168489,6,32945317,R,II,BRD2,Body,opensea,Body-opensea,,,,,,,-0.321362665,hypo,0.81,0.939958592,0.911504425,-0.028454167,-0.318538213,-0.32271708,0.004178867
cg00079302,-0.322309958,0.556686366,-14.60841177,3.93e-41,1.77e-38,82.40178378,0.850011615,0.527701657,-0.322309958,19,1439985,F,II,RPS15,Body,island,Body-island,chr19:1439951-1440423,,,,,,-0.385636417,hypo,0.72,0.93970894,0.87826087,-0.06144807,-0.367998613,-0.391925608,0.023926995
cg12942878,-0.31569765,0.45756131,-12.4546671,1.42e-31,1.1200000000000001e-29,60.50955411,0.744868883,0.429171234,-0.31569765,3,192960632,F,II,MGC2889,Body,shore,Body-shore,chr3:192958709-192959373,,,,,,-0.348026173,hypo,0.67,0.93970894,0.862068966,-0.077639974,-0.34819273,-0.347946303,-0.000246427
cg11823729,-0.285859897,0.58642697,-11.21490161,1.89e-26,6.86e-25,48.79665066,0.846580041,0.560720145,-0.285859897,6,55190909,R,II,GFRAL,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.305575876,hypo,0.78,0.93970894,0.830508475,-0.109200465,-0.287220808,-0.314377721,0.027156913
cg10623221,-0.280460103,0.619355331,-10.69063458,2.2e-24,6.09e-23,44.07443363,0.874594201,0.594134098,-0.280460103,3,173119212,F,II,NLGN1,5'UTR,shelf,5'UTR-shelf,chr3:173115404-173115775,,,,,,-0.3025074,hypo,0.83,0.93970894,0.945945946,0.006237006,-0.284765117,-0.305907071,0.021141954
cg00175153,-0.26779356,0.501574982,-13.1392937,1.58e-34,2.07e-32,67.27455331,0.745286387,0.477492828,-0.26779356,16,2012763,R,II,SNORA10,TSS1500,shore,TSS1500-shore,chr16:2014164-2015451,,,,,,-0.299599834,hypo,0.66,0.93970894,0.928571429,-0.011137511,-0.288624985,-0.306968484,0.018343499
cg14317513,-0.292535164,0.375402227,-11.2178996,1.83e-26,6.679999999999999e-25,48.82406871,0.641630271,0.349095108,-0.292535164,21,38074992,R,II,SIM2,Body,shore,Body-shore,chr21:38076762-38077685,,,,,,-0.332206266,hypo,0.59,0.938271605,0.827586207,-0.110685398,-0.332585128,-0.33202459,-0.000560538
cg17543218,-0.282941152,0.565321466,-10.77274219,1.05e-24,3.0399999999999996e-23,44.80431807,0.822818269,0.539877118,-0.282941152,4,77508108,F,II,SHROOM3,Body,shore,Body-shore,chr4:77507077-77507339,,,,,,-0.318902517,hypo,0.79,0.938271605,0.945454545,0.007182941,-0.320878573,-0.317954935,-0.002923638
cg13760060,-0.291256797,0.570336611,-10.49262401,1.2799999999999999e-23,3.21e-22,42.32944651,0.83540125,0.544144453,-0.291256797,14,73212577,F,II,DPF3,Body,opensea,Body-opensea,,True,True,,,,-0.326190677,hypo,0.81,0.938016529,0.846153846,-0.091862683,-0.313957085,-0.332057078,0.018099993
cg13672747,-0.320859648,0.501846691,-12.36782016,3.3300000000000003e-31,2.4600000000000002e-29,59.66573441,0.793852054,0.472992406,-0.320859648,3,13905567,R,II,WNT7A,Body,opensea,Body-opensea,,,True,,,,-0.357488931,hypo,0.72,0.937759336,0.911504425,-0.026254911,-0.343102446,-0.364387713,0.021285267
cg26810908,-0.29620643,0.545127885,-11.54159474,9.05e-28,3.97e-26,51.81122537,0.814697046,0.518490617,-0.29620643,1,238054569,R,II,ZP4,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.328043434,hypo,0.74,0.9375,0.89380531,-0.04369469,-0.307330731,-0.337975841,0.03064511
cg20849855,-0.289676639,0.551401143,-12.71361715,1.1100000000000001e-32,1.0499999999999999e-30,63.04509061,0.815027725,0.525351086,-0.289676639,13,114091716,F,II,ADPRHL1,Body,opensea,Body-opensea,,,,,,,-0.326443606,hypo,0.74,0.9375,0.87826087,-0.05923913,-0.317228998,-0.330862306,0.013633308
cg10586756,-0.272026105,0.565380205,-10.62911305,3.81e-24,1.02e-22,43.52995561,0.812943531,0.540917426,-0.272026105,16,56782283,R,II,NUP93,Body,opensea,Body-opensea,,,,,,,-0.311580867,hypo,0.77,0.935817805,0.846153846,-0.089663959,-0.330467712,-0.302524018,-0.027943694
cg00796302,-0.287367723,0.461689128,-11.8566321,4.61e-29,2.4500000000000002e-27,54.76819385,0.723214429,0.435846707,-0.287367723,4,106477599,F,II,FLJ20184,Body,opensea,Body-opensea,,,True,,,,-0.332592453,hypo,0.64,0.935550936,0.862068966,-0.07348197,-0.329737337,-0.336425922,0.006688585
cg27480913,-0.287978506,0.506292233,-11.26607462,1.1800000000000001e-26,4.4e-25,49.26528457,0.768373392,0.480394886,-0.287978506,11,6008246,F,II,OR52L1,TSS200,opensea,TSS200-opensea,,,,,,,-0.324169386,hypo,0.71,0.935550936,0.801652893,-0.133898043,-0.306687761,-0.332552388,0.025864627
cg05936516,-0.25840026,0.417424199,-11.47700398,1.6600000000000003e-27,7.000000000000001e-26,51.21096418,0.652587026,0.394186766,-0.25840026,5,114507066,R,II,TRIM36,Body,shore,Body-shore,chr5:114504910-114506598,,,,,,-0.298610912,hypo,0.59,0.935550936,0.877192982,-0.058357953,-0.298105615,-0.298853218,0.000747603
cg08874384,-0.268532836,0.504493614,-13.03634755,4.44e-34,5.37e-32,66.24487919,0.748877813,0.480344978,-0.268532836,19,17725883,F,II,UNC13A,Body,shelf,Body-shelf,chr19:17728443-17728647,,,,rs79768453,,-0.28875393,hypo,0.68,0.935550936,0.945945946,0.01039501,-0.284975422,-0.290565846,0.005590424
cg27545630,-0.334069,0.506131353,-13.1502457,1.41e-34,1.8700000000000002e-32,67.38434667,0.810158177,0.476089176,-0.334069,16,2013058,F,II,SNORA64,Body,shore,Body-shore,chr16:2014164-2015451,,,,,,-0.372598405,hypo,0.7,0.935281837,0.862068966,-0.073212872,-0.377092603,-0.375479264,-0.001613339
cg09411231,-0.302436516,0.586976908,-11.22244612,1.7600000000000002e-26,6.43e-25,48.86565766,0.862215895,0.559779379,-0.302436516,1,186159350,R,II,MIR548F1,Body,opensea,Body-opensea,,,,,,,-0.348075288,hypo,0.8,0.935281837,0.894736842,-0.040544995,-0.330169554,-0.356661664,0.02649211
cg19922435,-0.315911377,0.408007883,-12.97229369,8.45e-34,9.720000000000001e-32,65.60637632,0.695509964,0.379598587,-0.315911377,4,124694178,R,II,LOC285419,Body,opensea,Body-opensea,,,,,,,-0.329234266,hypo,0.59,0.935281837,0.894736842,-0.040544995,-0.327928312,-0.332591469,0.004663157
cg00049102,-0.272474049,0.660851799,-9.581622257,3.16e-20,5.41e-19,34.59041853,0.908822785,0.636348737,-0.272474049,13,72420299,F,II,DACH1,Body,opensea,Body-opensea,,,,,,,-0.321859102,hypo,0.9,0.933609959,0.862068966,-0.071540993,-0.314132804,-0.325564111,0.011431307
cg25626375,-0.263196376,0.493486272,-9.63027631,2.11e-20,3.67e-19,34.99126702,0.733013909,0.469817533,-0.263196376,8,133072269,R,II,OC90,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.316018865,hypo,0.7,0.933609959,0.911504425,-0.022105534,-0.2875112,-0.329689207,0.042178007
cg09261791,-0.267110915,0.426342748,-11.21098518,1.9600000000000002e-26,7.1e-25,48.7608399,0.669432897,0.402321982,-0.267110915,14,52347968,R,II,GNG2,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.299934534,hypo,0.61,0.933609959,0.844827586,-0.088782372,-0.298655563,-0.300547841,0.001892278
cg25921502,-0.30715927,0.522881221,-11.53922972,9.249999999999999e-28,4.05e-26,51.78921015,0.802418254,0.495258985,-0.30715927,10,50363896,R,II,C10orf128,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.340074213,hypo,0.75,0.933333333,0.928571429,-0.004761905,-0.333059856,-0.343437823,0.010377967
cg03276883,-0.292643292,0.316205186,-13.03991285,4.29e-34,5.200000000000001e-32,66.28046794,0.582531635,0.289888343,-0.292643292,4,104021583,F,II,BDH2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.324769308,hypo,0.48,0.933333333,0.910714286,-0.022619048,-0.321122005,-0.326528595,0.00540659
cg05126581,-0.262923436,0.630091901,-8.678636239,4.45e-17,5.48e-16,27.42244966,0.869371144,0.606447708,-0.262923436,1,216144819,R,II,USH2A,Body,opensea,Body-opensea,,,True,,,,-0.312059227,hypo,0.86,0.933333333,0.894736842,-0.038596491,-0.287365027,-0.32390089,0.036535863
cg11164441,-0.285277383,0.625659249,-10.63626913,3.58e-24,9.629999999999999e-23,43.59318173,0.885282191,0.600004808,-0.285277383,4,656100,R,II,PDE6B,Body,shore,Body-shore,chr4:656993-658162,,,,,,-0.309019411,hypo,0.86,0.933333333,0.89380531,-0.039528024,-0.305567708,-0.310674614,0.005106906
cg00736201,-0.281927459,0.553019441,-12.20535943,1.62e-30,1.08e-28,58.09627433,0.809593711,0.527666252,-0.281927459,12,108643267,R,II,WSCD2,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.314360821,hypo,0.73,0.933054393,0.87826087,-0.054793524,-0.305073814,-0.31881424,0.013740426
cg22154859,-0.272785822,0.595085582,-10.90111264,3.31e-25,1.0199999999999999e-23,45.95274147,0.843340305,0.570554483,-0.272785822,20,52823177,R,II,PFDN4,TSS1500,shore,TSS1500-shore,chr20:52824330-52825048,,,,,,-0.303667488,hypo,0.78,0.933054393,0.846153846,-0.086900547,-0.302165157,-0.304387904,0.002222747
cg23214755,-0.278604747,0.587420791,-9.725981288,9.47e-21,1.71e-19,35.78397225,0.840971154,0.562366407,-0.278604747,2,11607042,F,II,E2F6,TSS1500,shore,TSS1500-shore,chr2:11605743-11606385,,,,,,-0.326343751,hypo,0.81,0.931677019,0.927927928,-0.003749091,-0.293326736,-0.342176472,0.048849736
cg13869366,-0.294868419,0.447957536,-11.06026474,7.79e-26,2.61e-24,47.38871914,0.716309011,0.421440592,-0.294868419,11,7869666,R,II,OR5E1P,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.323086233,hypo,0.67,0.931392931,0.87826087,-0.053132062,-0.301254675,-0.333555168,0.032300493
cg20951266,-0.269385549,0.551255381,-10.56111468,6.98e-24,1.81e-22,42.93057671,0.796415611,0.527030062,-0.269385549,1,152856288,R,II,SMCP,5'UTR,opensea,5'UTR-opensea,,,,,,,-0.308167851,hypo,0.77,0.931392931,0.831932773,-0.099460158,-0.316853975,-0.304002575,-0.0128514
cg20268857,-0.258677806,0.624496383,-9.377512622,1.7e-19,2.69e-18,32.92473969,0.859911796,0.60123399,-0.258677806,1,158687431,R,II,OR6K3,1stExon,opensea,1stExon-opensea,,,,,,,-0.291005376,hypo,0.83,0.931392931,0.894736842,-0.036656089,-0.266559832,-0.302727801,0.036167969
cg23774016,-0.2891568,0.535141649,-12.77370105,6.12e-33,6.06e-31,63.63751463,0.79829514,0.50913834,-0.2891568,1,159284082,F,II,OR10J3,1stExon,opensea,1stExon-opensea,,,,,,,-0.325349517,hypo,0.69,0.93081761,0.87826087,-0.05255674,-0.316717145,-0.329489017,0.012771872
cg18552413,-0.271369015,0.403182201,-12.07840142,5.51e-30,3.37e-28,56.87812303,0.650147527,0.378778512,-0.271369015,1,159174610,R,II,DARC,TSS1500,opensea,TSS1500-opensea,,,,,,rs72547266,-0.304713367,hypo,0.58,0.93081761,0.910714286,-0.020103324,-0.291751376,-0.310965621,0.019214245
cg00090787,-0.273240044,0.456662704,-13.03200405,4.6399999999999995e-34,5.610000000000001e-32,66.20152945,0.705330801,0.432090758,-0.273240044,15,66795345,R,II,RPL4,Body,opensea,Body-opensea,,,,,,,-0.292195894,hypo,0.6,0.93081761,0.927927928,-0.002889682,-0.293725013,-0.29358898,-0.000136033
cg03082523,-0.29852464,0.558793587,-11.13870541,3.8e-26,1.3299999999999999e-24,48.10135353,0.830472486,0.531947846,-0.29852464,1,3155965,F,II,PRDM16,Body,shore,Body-shore,chr1:3157509-3158300,,,,,,-0.312877165,hypo,0.77,0.930526316,0.830508475,-0.100017841,-0.319390972,-0.309753585,-0.009637387
cg07073096,-0.269059185,0.522589884,-12.0556061,6.86e-30,4.13e-28,56.66018849,0.767453099,0.498393914,-0.269059185,7,2870441,R,II,GNA12,Body,opensea,Body-opensea,,,True,,,,-0.300553144,hypo,0.66,0.929166667,0.862068966,-0.067097701,-0.311682941,-0.297812373,-0.013870568
cg00350503,-0.271665231,0.631193022,-9.447542926,9.58e-20,1.56e-18,33.49331967,0.878427926,0.606762695,-0.271665231,19,13613614,F,II,CACNA1A,Body,shelf,Body-shelf,chr19:13616752-13617267,,,,rs2900966,,-0.297518029,hypo,0.85,0.929166667,0.860869565,-0.068297101,-0.286345799,-0.302875472,0.016529673
cg21748244,-0.260515186,0.621093526,-10.00842186,8.63e-22,1.75e-20,38.15549229,0.858181088,0.597665901,-0.260515186,5,169713179,F,II,LCP2,Body,opensea,Body-opensea,,,True,,,,-0.284347938,hypo,0.82,0.929166667,0.928571429,-0.000595238,-0.265931371,-0.293179274,0.027247903
cg20668321,-0.277956684,0.585694753,-10.31824414,5.92e-23,1.3700000000000002e-21,40.81080685,0.838655332,0.560698648,-0.277956684,5,153192843,F,II,GRIA1,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.320851626,hypo,0.78,0.928870293,0.830508475,-0.098361818,-0.299817077,-0.330938368,0.031121291
cg09795081,-0.260660311,0.478826105,-11.62119924,4.28e-28,1.9700000000000002e-26,52.55384643,0.716045741,0.45538543,-0.260660311,6,34392105,R,II,RPS10,Body,shore,Body-shore,chr6:34393325-34394014,,,,,,-0.293145434,hypo,0.64,0.928870293,0.894736842,-0.034133451,-0.288041269,-0.293159293,0.005118024
cg16852483,-0.324000742,0.542557652,-11.43032931,2.5600000000000002e-27,1.05e-25,50.77849416,0.837421637,0.513420894,-0.324000742,13,102103930,F,II,ITGBL1,TSS1500,shelf,TSS1500-shelf,chr13:102106165-102106488,,,,,,-0.362282392,hypo,0.76,0.928571429,0.830508475,-0.098062954,-0.33241816,-0.376603252,0.044185092
cg11009736,-0.304906599,0.421849195,-12.38330823,2.8600000000000003e-31,2.1400000000000002e-29,59.81597453,0.699336136,0.394429537,-0.304906599,2,119699682,R,II,MARCO,TSS200,opensea,TSS200-opensea,,,,,,,-0.339249639,hypo,0.61,0.928571429,0.813559322,-0.115012107,-0.334780434,-0.344070218,0.009289784
cg09577324,-0.286826941,0.48009995,-10.96065736,1.93e-25,6.1199999999999996e-24,46.48842726,0.741133101,0.45430616,-0.286826941,11,6890860,R,II,OR10A2,TSS200,opensea,TSS200-opensea,,,,,,,-0.330637471,hypo,0.67,0.928571429,0.829059829,-0.0995116,-0.30234265,-0.344205749,0.041863099
cg14269191,-0.284632033,0.600030256,-9.720587832,9.910000000000001e-21,1.79e-19,35.73915139,0.859065883,0.57443385,-0.284632033,11,5346249,R,II,OR51B2,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.329756084,hypo,0.84,0.928571429,0.846153846,-0.082417582,-0.30914374,-0.339640366,0.030496626
cg16599983,-0.285039532,0.519706912,-12.82710387,3.6e-33,3.71e-31,64.16534009,0.779113392,0.49407386,-0.285039532,6,32168969,R,II,NOTCH4,Body,opensea,Body-opensea,,,,,,,-0.319824054,hypo,0.67,0.928571429,0.894736842,-0.033834586,-0.310494033,-0.326395379,0.015901346
cg02457319,-0.272444244,0.428002613,-12.654185,2e-32,1.8099999999999997e-30,62.46060064,0.675946474,0.403502231,-0.272444244,9,138671108,F,II,KCNT1,Body,shore,Body-shore,chr9:138672734-138672970,,,,rs71508813,,-0.316094931,hypo,0.59,0.926931106,0.945945946,0.019014839,-0.306625531,-0.330877796,0.024252265
cg07103673,-0.27781409,0.526422332,-10.4538251,1.8e-23,4.44e-22,41.99007551,0.779253141,0.501439051,-0.27781409,11,7092719,R,II,NLRP14,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.309794501,hypo,0.73,0.926931106,0.87826087,-0.048670237,-0.277450293,-0.325304589,0.047854296
cg14696870,-0.285640746,0.60821418,-9.442267056,1e-19,1.62e-18,33.45037797,0.868167808,0.582527063,-0.285640746,1,159258877,R,II,FCER1A,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.333997495,hypo,0.84,0.926624738,0.862068966,-0.064555772,-0.329498012,-0.336155142,0.00665713
cg23793965,-0.296398304,0.413543773,-10.79926995,8.31e-25,2.4199999999999998e-23,45.04091372,0.683287553,0.386889249,-0.296398304,8,91841347,R,II,NECAB1,Body,opensea,Body-opensea,,,True,,,,-0.331326994,hypo,0.62,0.926624738,0.846153846,-0.080470892,-0.331935715,-0.331035093,-0.000900622
cg07269374,-0.28610743,0.563204948,-11.29740094,8.800000000000001e-27,3.35e-25,49.55282609,0.823583293,0.537475862,-0.28610743,12,66176707,F,II,RPSAP52,Body,opensea,Body-opensea,,,,,,,-0.325201569,hypo,0.75,0.926624738,0.862068966,-0.064555772,-0.311785895,-0.331634816,0.019848921
cg14220224,-0.270872222,0.386859566,-12.01327861,1.0300000000000001e-29,6.03e-28,56.25615573,0.633372775,0.362500553,-0.270872222,8,57309145,F,II,SDR16C6,TSS1500,opensea,TSS1500-opensea,,,,,rs77073830,,-0.311353992,hypo,0.56,0.926624738,0.945454545,0.018829808,-0.29684375,-0.31831212,0.02146837
cg20944283,-0.275702689,0.504132268,-11.90879028,2.8e-29,1.5300000000000001e-27,55.2623537,0.75504155,0.479338861,-0.275702689,1,159172620,F,II,CADM3,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.306464239,hypo,0.68,0.926624738,0.911504425,-0.015120313,-0.298307175,-0.310375814,0.012068639
cg13748640,-0.263696458,0.585490147,-10.19461945,1.74e-22,3.8100000000000004e-21,39.74464023,0.825472895,0.561776437,-0.263696458,9,102858493,R,II,ERP44,Body,shelf,Body-shelf,chr9:102860775-102861677,,,,,,-0.306403158,hypo,0.77,0.926624738,0.911504425,-0.015120313,-0.291725603,-0.313441517,0.021715914
cg27130665,-0.26258893,0.497956111,-11.25618603,1.2900000000000001e-26,4.8e-25,49.17462206,0.736930929,0.474341999,-0.26258893,11,40316514,F,II,LRRC4C,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.277607407,hypo,0.68,0.926624738,0.89380531,-0.032819428,-0.264952331,-0.283675923,0.018723592
cg15000071,-0.267052646,0.401283325,-13.21271909,7.52e-35,1.03e-32,68.0115542,0.644320445,0.3772678,-0.267052646,3,134889493,F,II,EPHB1,Body,opensea,Body-opensea,,,True,,,,-0.298259325,hypo,0.53,0.926315789,0.87826087,-0.04805492,-0.289308559,-0.308703084,0.019394525
cg15761405,-0.262699404,0.63379112,-9.933269582,1.6400000000000002e-21,3.22e-20,37.5198377,0.872866477,0.610167073,-0.262699404,1,157746405,F,II,FCRL2,Body,opensea,Body-opensea,,,,,rs57560418,,-0.297357575,hypo,0.82,0.926315789,0.831932773,-0.094383016,-0.278086129,-0.306598854,0.028512725
cg14959260,-0.288956497,0.536959839,-10.69232452,2.1699999999999997e-24,5.999999999999999e-23,44.08941914,0.799931039,0.510974542,-0.288956497,4,9917839,F,II,SLC2A9,Body,opensea,Body-opensea,,,,,,,-0.332790554,hypo,0.74,0.924686192,0.87826087,-0.046425323,-0.318623026,-0.33958434,0.020961314
cg15952487,-0.26128007,0.478361924,-10.62489849,3.96e-24,1.06e-22,43.4927319,0.716145586,0.454865515,-0.26128007,1,158300733,R,II,CD1B,Body,opensea,Body-opensea,,,,,,,-0.3061836,hypo,0.66,0.924686192,0.945945946,0.021259753,-0.290041855,-0.316301849,0.026259994
cg18504196,-0.300228476,0.454295417,-10.34780995,4.5699999999999995e-23,1.07e-21,41.06708117,0.72752493,0.427296454,-0.300228476,3,168331449,R,II,C3orf50,Body,opensea,Body-opensea,,,,,,,-0.337700249,hypo,0.67,0.924369748,0.862068966,-0.062300782,-0.322712591,-0.344887313,0.022174722
cg01164202,-0.277703342,0.606316726,-10.50301664,1.1699999999999998e-23,2.94e-22,42.42049281,0.859046745,0.581343404,-0.277703342,8,71579983,R,II,LACTB2,Body,shore,Body-shore,chr8:71581050-71581650,,,,,,-0.290531053,hypo,0.79,0.924369748,0.843478261,-0.080891487,-0.273817855,-0.29854557,0.024727715
cg00298977,-0.324795943,0.473859788,-12.37762824,3.03e-31,2.2500000000000002e-29,59.7608641,0.769447463,0.44465152,-0.324795943,1,153175842,R,II,LELP1,TSS200,opensea,TSS200-opensea,,,,,,rs80344177,-0.360572068,hypo,0.65,0.924050633,0.830508475,-0.093542158,-0.350327546,-0.365484645,0.015157099
cg23348723,-0.333587555,0.5461789,-10.57249413,6.3099999999999994e-24,1.65e-22,43.03070426,0.849767575,0.516180019,-0.333587555,7,31725748,F,II,C7orf16,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.357767421,hypo,0.81,0.924050633,0.81512605,-0.108924582,-0.352759777,-0.360168748,0.007408971
cg27070951,-0.31667016,0.604873983,-11.40502711,3.2400000000000006e-27,1.31e-25,50.5445089,0.893066611,0.576396451,-0.31667016,15,92532867,R,II,SLCO3A1,Body,opensea,Body-opensea,,,True,,,,-0.345835563,hypo,0.82,0.924050633,0.87826087,-0.045789763,-0.336176689,-0.350467303,0.014290614
cg08238568,-0.275130531,0.534254022,-10.56150569,6.949999999999999e-24,1.8000000000000001e-22,42.93401599,0.784642599,0.509512068,-0.275130531,1,241474238,R,II,RGS7,Body,opensea,Body-opensea,,,True,,,,-0.309898332,hypo,0.73,0.924050633,0.862068966,-0.061981667,-0.29189192,-0.318532985,0.026641065
cg15021031,-0.265228828,0.554901639,-10.40056666,2.8799999999999995e-23,6.93e-22,41.5256025,0.796278954,0.531050126,-0.265228828,5,146333034,F,II,PPP2R2B,5'UTR,opensea,5'UTR-opensea,,,True,,,,-0.29909213,hypo,0.73,0.924050633,0.894736842,-0.029313791,-0.280715585,-0.307904275,0.02718869
cg16358044,-0.267860678,0.657580006,-9.344743144,2.23e-19,3.48e-18,32.65973714,0.901352493,0.633491815,-0.267860678,4,164245970,R,II,NPY1R,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.295622125,hypo,0.87,0.924050633,0.862068966,-0.061981667,-0.272594717,-0.306664508,0.034069791
cg02245566,-0.276479707,0.638530422,-9.205161518,6.91e-19,1.02e-17,31.53855045,0.890146846,0.613667139,-0.276479707,1,158670617,F,II,OR6K2,TSS200,opensea,TSS200-opensea,,,,,,,-0.316167431,hypo,0.86,0.922105263,0.911504425,-0.010600838,-0.28716197,-0.330076482,0.042914512
cg11783356,-0.277173369,0.448387079,-12.46838075,1.25e-31,9.9e-30,60.64310236,0.700634785,0.423461416,-0.277173369,20,44313418,F,II,WFDC10B,3'UTR,opensea,3'UTR-opensea,,,,,,,-0.313933927,hypo,0.6,0.922105263,0.846153846,-0.075951417,-0.299845804,-0.320769585,0.020923781
cg24926465,-0.276666402,0.576211724,-10.72361366,1.64e-24,4.6099999999999997e-23,44.36715646,0.827998054,0.551331652,-0.276666402,3,156007787,R,II,KCNAB1,TSS1500,shore,TSS1500-shore,chr3:156008991-156009320,,,,,,-0.30152249,hypo,0.77,0.922105263,0.928571429,0.006466165,-0.297615224,-0.303396149,0.005780925
cg05323709,-0.258223894,0.55526393,-10.72327668,1.64e-24,4.6199999999999997e-23,44.3641624,0.79026625,0.532042356,-0.258223894,19,45753380,R,II,MARK4,TSS1500,shore,TSS1500-shore,chr19:45754630-45755261,,,,,,-0.291102695,hypo,0.73,0.922105263,0.862068966,-0.060036298,-0.29301469,-0.290185832,-0.002828858
cg24488391,-0.258209533,0.643886657,-10.05571501,5.76e-22,1.19e-20,38.55721192,0.878875908,0.620666375,-0.258209533,1,170113838,F,II,METTL11B,TSS1500,opensea,TSS1500-opensea,,,,,,,-0.273236143,hypo,0.83,0.922105263,0.87826087,-0.043844394,-0.268838669,-0.275344874,0.006506205
